animal,zero_crossings,spectral_centroids,spectral_rolloff,mfccs
cat,22632,939134.6325542326,2259145.2392578125,517
cat,25343,711185.1052362481,1230547.1923828125,496
cat,29394,788980.6995143157,1319436.2548828125,517
cat,31322,815759.8882185969,1321858.740234375,517
cat,3203,105509.62093569893,196253.61328125,56
cat,28554,946790.7507882774,1843069.921875,496
cat,25343,862386.8671763954,1646751.708984375,491
cat,27114,909625.4323432579,1754320.8251953125,517
cat,22690,733957.7749025807,1355967.333984375,517
cat,21597,930125.4500404412,2115281.9091796875,513
cat,20362,919464.7643589482,2044932.9345703125,517
cat,19050,879371.6988083423,1942413.3544921875,517
cat,6633,182387.69491196523,304081.1279296875,83
cat,8952,345038.8445190355,690526.7578125,253
cat,4030,119437.85198151293,230642.138671875,55
cat,21086,664288.5681914049,1247095.458984375,509
cat,47190,1037920.0249540902,1650444.6533203125,775
cat,9928,368544.2861441275,719682.71484375,214
cat,15244,581021.0495309326,1330762.7197265625,357
cat,31386,1229003.402441794,2596150.634765625,629
cat,24522,908839.4546095427,2014086.62109375,513
cat,21905,893509.1959229998,2028600.0,479
cat,16181,689971.036763348,1571450.09765625,362
cat,4416,197396.50771228957,372298.3154296875,186
cat,4513,132370.05707003933,221953.4912109375,87
cat,6510,243812.5349736261,467507.373046875,179
cat,17934,416492.86436111556,545694.43359375,232
cat,9368,426380.7778961573,906472.4853515625,272
cat,4234,111561.78739622133,187780.2978515625,47
cat,14374,491029.0236930197,852574.8779296875,343
cat,39131,1245854.2636289315,2180430.615234375,517
cat,45758,1338449.5880009274,2266584.9609375,453
cat,42878,1301352.757104498,2392349.6337890625,491
cat,7526,282225.93254744145,502488.0615234375,240
cat,2482,95239.73812377697,191559.375,54
cat,408,37250.604940728124,65288.671875,69
cat,49726,1444002.92432077,2983457.5927734375,655
cat,958,79749.06625286897,144207.861328125,60
cat,1120,43506.940280629606,68346.38671875,55
cat,1316,49159.005647243604,81277.0751953125,52
cat,3176,378450.1017093603,760552.734375,254
cat,2175,90041.3215468014,166559.326171875,45
cat,2652,97262.00137192631,174580.4443359375,54
